義務    ぎむ 
判断    はんだん 
目標    もくひょう 
報酬    ほうしゅう 
要素    ようそ 
効果    こうか 
刺激    しげき 
精神的  せいしんてき 
得る    うる 
弱まる  よわまる 
求める  もとめる 
放送    ほうそう 
鉄道    てつどう 
文句    もんく 
騒音    そうおん 
自身    じしん 
ホーム  ホーム 
車内    しゃない 
公共    こうきょう 
アナウンスする  アナウンス 
流れる  ながれる 
なんとかなる    なんとかなる 
高速道路    こうそくどうろ 
スピード    スピード 
運転手  うんてんしゅ 
目的地  もくてきち 
途中    とちゅう 
映画    えいが 
現在    げんざい 
距離    きょり 
センサー    センサー 
休憩所  きゅうけいしょ 
長時間  ちょうじかん 
一晩中  いちばんちゅう 
衝突    しょうとつ 
不注意  ふちゅうい 
勇気    ゆうき 
単調    たんちょう 
進める  すすめる 
うとうとする    うとうとする 
ちょっとした    ちょっとした 
つい    つい 
ぐっすり    ぐっすり 
程度    ていど 
怒る    おこる 
企業    きぎょう 
勤める  つとめる 
対象    たいしょう 
調査    ちょうさ 
秒  びょう 
美容院  びよういん 
理髪店  りはつてん 
空席    くうせき 
順番待ち    じゅんばんまち 
有効    ゆうこう 
これら  これら 
彼ら    かれら 
なんだか    なんだか 
直後に  ちょくごに 
いつぞや    いつぞや 
一般的に    いっぱんてきに 
一回かぎり  いちかいかぎり 
一回きり    いちかいきり 
ひとたび    ひとたび 
恩  おん 
精一杯  せいいっぱい 
義理社会    ぎりしゃかい 
義理人情    ぎりにんじょう 
贈り物  おくりもの 
物々交換    ぶつぶつこうかん 
やり取り    やりとり 
肝心    かんじん 
ありがたい  ありがたい 
再会する    さいかいする 
期待する    きたいする 
済ます  すます 
恐縮する    きょうしゅくする 
尽くす  つくす 
はぐくむ    はぐくむ 
言い忘れる  いいわすれる 
油  あぶら 
知能    ちのう 
感情    かんじょう 
国民    こくみん 
民族    みんぞく 
タンパク源  タンパクげん 
生物資源    せいぶつしげん 
生き物  いきもの 
鯨  くじら 
捕鯨    ほげい 
哺乳類  ほにゅうるい 
魚類    ぎょるい 
種  しゅ 
IWC(国際捕鯨委員会)  IWC(こくさいほげいいいんかい) 
決定    けってい 
頭  あたま 
貴重(な)    きちょう 
神聖(な)    しんせい 
基本的(な)  きほんてき 
科学的(な)  かがくてき 
捕る    とる 
絡む    からむ 
親しむ  したしむ 
非難する    ひなんする 
主張する    しゅちょうする 
発達する    はったつする 

