日 NHẬT
一 NHẤT
国 QUỐC
十 THẬP
大 ĐẠI
会 HỘI
人 NHÂN
年 NIÊN
二 NHỊ
本 BẢN
三 TAM
中 TRUNG
長 TRƯỜNG
出 XUẤT
政 CHÍNH
五 NGŨ
自 TỰ
事 SỰ
者 GIẢ
社 XÃ
月 NGUYỆT
四 TỨ
分 PHÂN
時 THỜI
合 HỢP
同 ĐỒNG
九 CỬU
上 THƯỢNG
行 HÀNH
民 DÂN
前 TIỀN
業 NGHIỆP
生 SINH
議 NGHỊ
後 HẬU
新 TÂN
部 BỘ
見 KIẾN
東 ĐÔNG
間 GIAN
地 ĐỊA
的 ĐÍCH
場 TRƯỜNG
八 BÁT
入 NHẬP
方 PHƯƠNG
六 LỤC
市 THỊ
発 PHÁT
員 VIÊN
対 ĐỐI
金 KIM
子 TỬ
内 NỘI
定 ĐỊNH
学 HỌC
高 CAO
手 THỦ
円 VIÊN
立 LẬP
回 HỒI
連 LIÊN
選 TUYỂN
田 ĐIỀN
七 THẤT
代 ĐẠI
力 LỰC
今 KIM
米 MỄ
百 BÁCH
相 TƯƠNG
関 QUAN
明 MINH
開 KHAI
京 KINH
問 VẤN
体 THỂ
実 THỰC
決 QUYẾT
主 CHỦ
動 ĐỘNG
表 BIỂU
目 MỤC
通 THÔNG
化 HÓA
治 TRỊ
全 TOÀN
度 ĐỘ
当 ĐƯƠNG
理 LÍ
山 SƠN
小 TIỂU
経 KINH
制 CHẾ
法 PHÁP
下 HẠ
千 THIÊN
万 VẠN
約 ƯỚC
戦 CHIẾN
外 NGOẠI
最 TỐI
調 ĐIỀU
野 DÃ
現 HIỆN
不 BẤT
公 CÔNG
気 KHÍ
勝 THẮNG
家 GIA
取 THỦ
意 Ý
作 TÁC
川 XUYÊN
要 YÊU
用 DỤNG
権 QUYỀN
性 TÍNH
言 NGÔN
氏 THỊ
務 VỤ
所 SỞ
話 THOẠI
期 KÌ
機 CƠ
成 THÀNH
題 ĐỀ
来 LAI
総 TỔNG
産 SẢN
首 THỦ
強 CƯỜNG
県 HUYỆN
数 SỐ
協 HIỆP
思 TƯ
設 THIẾT
保 BẢO
持 TRÌ
区 KHU
改 CẢI
以 DĨ
道 ĐẠO
都 ĐÔ
和 HÒA
受 THỤ
安 AN
加 GIA
続 TỤC
点 ĐIỂM
進 TIẾN
平 BÌNH
教 GIÁO
正 CHÍNH
原 NGUYÊN
支 CHI
多 ĐA
世 THẾ
組 TỔ
界 GIỚI
挙 CỬ
記 KÍ
報 BÁO
書 THƯ
心 TÂM
文 VĂN
北 BẮC
名 DANH
指 CHỈ
委 ỦY
資 TƯ
初 SƠ
女 NỮ
院 VIỆN
共 CỘNG
元 NGUYÊN
海 HẢI
近 CẬN
第 ĐỆ
売 MẠI
島 ĐẢO
先 TIÊN
統 THỐNG
電 ĐIỆN
物 VẬT
済 TẾ
官 QUAN
水 THỦY
投 ĐẦU
向 HƯỚNG
派 PHÁI
信 TÍN
結 KẾT
重 TRỌNG
団 ĐOÀN
税 THUẾ
予 DỰ
判 PHÁN
活 HOẠT
考 KHẢO
午 NGỌ
工 CÔNG
省 TỈNH
知 TRI
画 HỌA
引 DẪN
局 CỤC
打 ĐẢ
反 PHẢN
交 GIAO
品 PHẨM
解 GIẢI
査 TRA
任 NHIỆM
策 SÁCH
込 <VÀO>
領 LĨNH
利 LỢI
次 THỨ
際 TẾ
集 TẬP
面 DIỆN
得 ĐẮC
減 GIẢM
側 TRẮC
村 THÔN
計 KÊ
変 BIẾN
革 CÁCH
論 LUẬN
別 BIỆT
使 SỬ
告 CÁO
直 TRỰC
朝 TRIỀU
広 QUẢNG
企 XÍ
認 NHẬN
億 ỨC
切 THIẾT
求 CẦU
件 KIỆN
増 TĂNG
半 BÁN
感 CẢM
車 XA
校 HIỆU
西 TÂY
歳 TUẾ
示 THỊ
建 KIẾN
価 GIÁ
付 PHỤ
勢 THẾ
男 NAM
在 TẠI
情 TÌNH
始 THỦY
台 ĐÀI
聞 VĂN
基 CƠ
各 CÁC
参 THAM
費 PHÍ
木 MỘC
演 DIỄN
無 VÔ
放 PHÓNG
昨 TẠC
特 ĐẶC
運 VẬN
係 HỆ
住 TRÚ
敗 BẠI
位 VỊ
私 TƯ
役 DỊCH
果 QUẢ
軍 QUÂN
井 TỈNH
格 CÁCH
料 LIỆU
語 NGỮ
職 CHỨC
終 CHUNG
宮 CUNG
検 KIỂM
死 TỬ
必 TẤT
式 THỨC
少 THIẾU
過 QUA
止 CHỈ
割 CÁT
口 KHẨU
確 XÁC
裁 TÀI
置 TRÍ
提 ĐỀ
流 LƯU
能 NĂNG
有 HỮU
町 ĐINH
沢 TRẠCH
球 CẦU
石 THẠCH
義 NGHĨA
由 DO
再 TÁI
営 DOANH
両 LƯỠNG
神 THẦN
比 TỈ
容 DUNG
規 QUY
送 TỐNG
消 TIÊU
銀 NGÂN
状 TRẠNG
輸 THÂU
研 NGHIÊN
談 ĐÀM
説 THUYẾT
常 THƯỜNG
応 ỨNG
空 KHÔNG
夫 PHU
争 TRANH
身 THÂN
優 ƯU
違 VI
護 HỘ
店 ĐIẾM
土 THỔ
率 SUẤT
士 SĨ
算 TOÁN
育 DỤC
配 PHỐI
術 THUẬT
商 THƯƠNG
収 THU
武 VŨ
州 CHÂU
導 ĐẠO
農 NÔNG
構 CẤU
疑 NGHI
残 TÀN
与 DỮ
足 TÚC
何 HÀ
断 ĐOẠN
真 CHÂN
転 CHUYỂN
楽 LẠC
施 THI
庁 SẢNH
番 PHIÊN
害 HẠI
援 VIỆN
究 CỨU
可 KHẢ
起 KHỞI
視 THỊ
副 PHÓ
線 TUYẾN
急 CẤP
例 LỆ
食 THỰC
補 BỔ
額 NGẠCH
証 CHỨNG
館 QUÁN
質 CHẤT
限 HẠN
難 NAN
製 CHẾ
監 GIAM
声 THANH
準 CHUẨN
落 LẠC
病 BỆNH
張 TRƯƠNG
葉 DIỆP
警 CẢNH
技 KĨ
試 THÍ
英 ANH
松 TÙNG
担 ĐẢM
幹 CÁN
景 CẢNH
備 BỊ
防 PHÒNG
南 NAM
美 MĨ
労 LAO
谷 CỐC
態 THÁI
崎 KHI
着 TRƯỚC
横 HOÀNH
映 ÁNH
形 HÌNH
席 TỊCH
域 VỰC
待 ĐÃI
象 TƯỢNG
助 TRỢ
展 TRIỂN
屋 ỐC
働 ĐỘNG
佐 TÁ
宅 TRẠCH
票 PHIẾU
伝 TRUYỀN
福 PHÚC
早 TẢO
審 THẨM
境 CẢNH
況 HUỐNG
仕 SĨ
条 ĐIỀU
乗 THỪA
想 TƯỞNG
渡 ĐỘ
字 TỰ
造 TẠO
味 VỊ
念 NIỆM
負 PHỤ
親 THÂN
述 THUẬT
差 SAI
族 TỘC
追 TRUY
験 NGHIỆM
個 CÁ
若 NHƯỢC
訴 TỐ
低 ĐÊ
量 LƯỢNG
然 NHIÊN
独 ĐỘC
供 CUNG
細 TẾ
授 THỤ
医 Y
衛 VỆ
器 KHÍ
音 ÂM
花 HOA
頭 ĐẦU
整 CHỈNH
財 TÀI
門 MÔN
値 TRỊ
退 THOÁI
守 THỦ
古 CỔ
太 THÁI
姿 TƯ
答 ĐÁP
末 MẠT
隊 ĐỘI
紙 CHỈ
注 CHÚ
株 CHU
望 VỌNG
含 HÀM
種 CHỦNG
返 PHẢN
洋 DƯƠNG
失 THẤT
評 BÌNH
様 DẠNG
好 HẢO
影 ẢNH
命 MỆNH
型 HÌNH
室 THẤT
路 LỘ
良 LƯƠNG
復 PHỤC
課 KHÓA
程 TRÌNH
環 HOÀN
閣 CÁC
港 CẢNG
科 KHOA
響 HƯỞNG
訪 PHÓNG
憲 HIẾN
史 SỬ
戸 HỘ
秒 MIỂU
風 PHONG
極 CỰC
去 KHỨ
欧 ÂU
段 ĐOẠN
管 QUẢN
天 THIÊN
非 PHI
買 MÃI
賞 THƯỞNG
辺 BIÊN
競 CẠNH
振 CHẤN
察 SÁT
観 QUAN
推 THÔI
易 DỊ
移 DI
専 CHUYÊN
衆 CHÚNG
申 THÂN
浜 BANH
深 THÂM
離 LI
督 ĐỐC
白 BẠCH
帰 QUY
撃 KÍCH
橋 KIỀU
歩 BỘ
材 TÀI
識 THỨC
雄 HÙNG
達 ĐẠT
録 LỤC
討 THẢO
春 XUÂN
鮮 TIÊN
赤 XÍCH
効 HIỆU
被 BỊ
呼 HÔ
悪 ÁC
右 HỮU
根 CĂN
光 QUANG
他 THA
渉 THIỆP
融 DUNG
針 CHÂM
満 MÃN
兵 BINH
修 TU
処 XỬ
捕 BỘ
積 TÍCH
河 HÀ
丸 HOÀN
編 BIÊN
師 SƯ
歌 CA
森 SÂM
鉄 THIẾT
並 TỊNH
愛 ÁI
青 THANH
責 TRÁCH
単 ĐƠN
客 KHÁCH
秋 THU
園 VIÊN
献 HIẾN
林 LÂM
蔵 TÀNG
模 MÔ
系 HỆ
券 KHOÁN
清 THANH
婦 PHỤ
夜 DẠ
核 HẠCH
富 PHÚ
接 TIẾP
城 THÀNH
販 PHÁN
請 THỈNH
久 CỬU
登 ĐĂNG
図 ĐỒ
読 ĐỘC
益 ÍCH
黒 HẮC
介 GIỚI
貿 MẬU
脳 NÃO
候 HẬU
存 TỒN
号 HIỆU
吉 CÁT
除 TRỪ
旧 CỰU
超 SIÊU
健 KIỆN
障 CHƯỚNG
左 TẢ
母 MẪU
険 HIỂM
激 KÍCH
摘 TRÍCH
央 ƯƠNG
批 PHÊ
座 TỌA
弁 BIỆN
催 THÔI
児 NHI
江 GIANG
給 CẤP
具 CỤ
殺 SÁT
飛 PHI
速 TỐC
波 BA
階 GIAI
友 HỮU
苦 KHỔ
幅 PHÚC
劇 KỊCH
司 TI
周 CHU
走 TẨU
未 VỊ
拡 KHUẾCH
週 CHU
従 TÙNG
採 THẢI
否 PHỦ
織 CHỨC
舞 VŨ
写 TẢ
抜 BẠT
色 SẮC
療 LIỆU
突 ĐỘT
余 DƯ
火 HỎA
越 VIỆT
攻 CÔNG
歴 LỊCH
完 HOÀN
破 PHÁ
休 HƯU
船 THUYỀN
危 NGUY
債 TRÁI
航 HÀNG
冷 LÃNH
廃 PHẾ
盟 MINH
庫 KHỐ
皇 HOÀNG
占 CHIÊM
将 TƯỚNG
捜 SƯU
厳 NGHIÊM
及 CẬP
紀 KỈ
故 CỐ
装 TRANG
就 TỰU
塁 LŨY
素 TỐ
竹 TRÚC
異 DỊ
薬 DƯỢC
札 TRÁT
盛 THỊNH
延 DUYÊN
馬 MÃ
遺 DI
級 CẤP
父 PHỤ
降 GIÁNG
王 VƯƠNG
講 GIẢNG
維 DUY
顔 NHAN
均 QUÂN
玉 NGỌC
油 DU
喜 HỈ
類 LOẠI
等 ĐẲNG
芸 NGHỆ
覚 GIÁC
静 TĨNH
習 TẬP
標 TIÊU
般 BÀN
夏 HẠ
永 VĨNH
興 HƯNG
羽 VŨ
博 BÁC
迎 NGHÊNH
禁 CẤM
短 ĐOẢN
彼 BỈ
曲 KHÚC
伸 THÂN
継 KẾ
圧 ÁP
績 TÍCH
頼 LẠI
僚 LIÊU
厚 HẬU
替 THẾ
背 BỐI
逆 NGHỊCH
岩 NHAM
陸 LỤC
印 ẤN
熱 NHIỆT
香 HƯƠNG
角 GIÁC
毎 MỖI
豊 PHONG
輪 LUÂN
留 LƯU
順 THUẬN
辞 TỪ
便 TIỆN
散 TÁN
締 ĐẾ
妻 THÊ
因 NHÂN
津 TÂN
途 ĐỒ
罪 TỘI
則 TẮC
諸 CHƯ
志 CHÍ
源 NGUYÊN
湾 LOAN
踏 ĐẠP
払 PHẤT
幸 HẠNH
許 HỨA
略 LƯỢC
固 CỐ
賛 TÁN
星 TINH
執 CHẤP
善 THIỆN
版 BẢN
精 TINH
亡 VONG
植 THỰC
崩 BĂNG
戻 LỆ
層 TẦNG
聴 THÍNH
適 THÍCH
属 THUỘC
震 CHẤN
宿 TÚC
押 ÁP
脱 THOÁT
欠 KHIẾM
尾 VĨ
逮 ĐÃI
昭 CHIÊU
囲 VI
婚 HÔN
旅 LỮ
倍 BỘI
迫 BÁCH
浦 PHỔ
闘 ĐẤU
池 TRÌ
像 TƯỢNG
貨 HÓA
削 TƯỚC
寺 TỰ
坂 PHẢN
壊 HOẠI
乱 LOẠN
帯 ĐỚI
岸 NGẠN
遣 KHIỂN
緊 KHẨN
努 NỖ
練 LUYỆN
康 KHANG
遅 TRÌ
棄 KHÍ
刑 HÌNH
宣 TUYÊN
避 TỊ
著 TRỨ
房 PHÒNG
塚 TRỦNG
勤 CẦN
服 PHỤC
臨 LÂM
測 TRẮC
惑 HOẶC
巨 CỰ
昇 THĂNG
為 VI
停 ĐÌNH
