元旦	NGUYÊN ĐÁN がんたん
大みそか	ĐẠI おおみそか
初もうで	SƠ はつもうで
初日の出	SƠ NHẬT XUẤT はつひので
門松	MÔN TÙNG かどまつ
おせち料理	LIỆU LÍ おせちりょうり
雑煮	TẠP CHỬ ぞうに
悪鬼	ÁC QUỶ あくき
風習	PHONG TẬP ふうしゅう
たこ	 たこ
こま	 こま
サイコロ	 サイコロ
はね	 はね
かるた	 かるた
竹馬	TRÚC MÃ ちくば
お宮	CUNG おみや
西暦	TÂY LỊCH せいれき
旅館	LỮ QUÁN りょかん
拝む	BÁI おがむ
供える	CUNG そなえる
つまむ	 つまむ
晴れやか(な)	TÌNH はれやか(な)
立春	LẬP XUÂN りっしゅん
節分	TIẾT PHÂN せつぶん
豆	ĐẬU まめ
鬼	QUỶ おに
福	PHÚC ふく
疫病	DỊCH BỆNH やくびょう
無病息災	VÔ BỆNH TỨC TAI むびょうそくさい
暦	LỊCH こよみ
祭典	TẾ ĐIỂN さいてん
受験生	THỤ NGHIỆM SINH じゅけんせい
便り	TIỆN たより
気配	KHÍ PHỐI けはい
番茶	PHIÊN TRÀ ばんちゃ
本気	BẢN KHÍ ほんき
平安時代	BÌNH AN THỜI ĐẠI へいあんじだい
題材	ĐỀ TÀI だいざい
歌集	CA TẬP かしゅう
枝	CHI えだ
満開	MÃN KHAI まんかい
命	MỆNH いのち
再生	TÁI SINH さいせい
盛り	THỊNH もり
悲哀	BI AI ひあい
無常観	VÔ THƯỜNG QUAN むじょうかん
重箱	TRỌNG TƯƠNG じゅうばこ
場所取り	TRƯỜNG SỞ THỦ ばしょとり
団子	ĐOÀN TỬ だんご
和らぐ	HÒA やわらぐ
あっという間に	GIAN あっというまに
惜しい	TÍCH おしい
梅雨	MAI VŨ つゆ
花嫁	HOA GIÁ はなよめ
梅の実	MAI THỰC うめのじつ
カビ	 カビ
稲	ĐẠO いね
婚礼	HÔN LỄ こんれい
純白	THUẦN BẠCH じゅんぱく
衣装	Y TRANG いしょう
コントラスト	 コントラスト
風物詩	PHONG VẬT THI ふうぶつし
祝儀	CHÚC NGHI しゅうぎ
熟す	THỤC じゅくす
ぬらす	 ぬらす
こけむす	 こけむす
輝く	HUY かがやく
うっとうしい	 うっとうしい
鮮やか(な)	TIÊN あざやか(な)
まぶしい	 まぶしい
七夕	THẤT TỊCH たなばた
たんざく	 たんざく
ササ飾り	SỨC ササかざり
夜空	DẠ KHÔNG よぞら
織り姫の星	CHỨC CƠ TINH おりひめのほし
彦星	TINH ひこぼし
天の川	THIÊN XUYÊN あまのがわ
中元	TRUNG NGUYÊN ちゅうげん
暑中見舞い	THỬ TRUNG KIẾN VŨ しょちゅうみまい
あいさつ状	TRẠNG あいさつじょう
ウナギ	 ウナギ
ビアガーデン	 ビアガーデン
贈る	TẶNG おくる
列島	LIỆT ĐẢO れっとう
日差し	NHẬT SAI ひざし
幽霊	U LINH ゆうれい
お化け	HÓA おばけ
思い思い	TƯ TƯ おもいおもい
旧暦	CỰU LỊCH きゅうれき
お盆	BỒN おぼん
祖先	TỔ TIÊN そせん
第二次世界大戦	ĐỆ NHỊ THỨ THẾ GIỚI ĐẠI CHIẾN だいにじせかいたいせん
敗戦	BẠI CHIẾN はいせん
肝試し	CAN THÍ きもだめし
害虫電灯	HẠI TRÙNG ĐIỆN ĐĂNG がいちゅうでんとう
しのぐ	 しのぐ
ぞっとする	 ぞっとする
供養する	CUNG DƯỠNG くようする
震源地	CHẤN NGUYÊN ĐỊA しんげんち
マグニチュード	 マグニチュード
行方不明者	HÀNH PHƯƠNG BẤT MINH GIẢ ゆくえふめいしゃ
大災害	ĐẠI TAI HẠI だいさいがい
防災	PHÒNG TAI ぼうさい
備え	BỊ そなえ
満月	MÃN NGUYỆT まんげつ
中秋	TRUNG THU ちゅうしゅう
名月	DANH NGUYỆT めいげつ
月見	NGUYỆT KIẾN つきみ
長寿	TRƯỜNG THỌ ちょうじゅ
敬老の日	KÍNH LÃO NHẬT けいろうのひ
雇用体制	CỐ DỤNG THỂ CHẾ こようたいせい
取り組み	THỦ TỔ とりくみ
訪れる	PHÓNG おとずれる
敬う	KÍNH うやまう
検討する	KIỂM THẢO けんとうする
気が早い	KHÍ TẢO きがはやい
実り	THỰC みのり
澄み渡る	TRỪNG ĐỘ すみわたる
街路樹	NHAI LỘ THỤ がいろじゅ
カキ	 カキ
ブドウ	 ブドウ
ギンナン	 ギンナン
クリ	 クリ
クルミ	 クルミ
アケビ	 アケビ
めぐみ	 めぐみ
稲刈り	ĐẠO NGẢI いねかり
鑑賞	GIÁM THƯỞNG かんしょう
紅葉狩がり	HỒNG DIỆP THÚ もみじがりがり
記念	KÍ NIỆM きねん
バトン	 バトン
綱	CƯƠNG つな
バー	 バー
旗	KÌ はた
